Site,CH4,N2O,CO2,Elevation,Slope,Aspect,Insolation,EAC,DFC,GTC,UAA,TWI,Bulk Density,C g,Ng,C.N,NDVI,AvgVWC,AvgTemp
T2W4,-52.1966316,3.808582503,18631431.85,2181.939941,15.3884001,0.129066637,990.191,10.5239,80.710701,0.130391,1757.780029,7.8873901,0.587165468,6.03275175,0.194035875,36.24252517,0.546666667,17.74615385,9.478571429
WH-2,-114.5153739,15.2218205,21592610.69,2217.27002,10.5747995,0.267311096,976.09,36.325901,311.1270142,0.116756,458.8659973,7.14044,0.648779209,7.8742125,0.240384375,38.18439589,0.478873239,18.31333333,10.52916667
WH-3,-76.30443619,2.616244011,15702973.22,2218.100098,6.9190402,0.145777808,975.979,23.0181007,268.7009888,0.0856644,6802.910156,10.1015997,0.778797184,3.50949375,0.10918425,37.46877602,0.585921325,16.30769231,9.507142857
WH-4,-88.05662301,10.65456266,18972267.35,2216.479981,9.3309002,0.027433353,984.77,19.6679993,237.9900055,0.082642,3964.840088,9.1026497,0.499488216,4.361635,0.13004875,39.09562544,0.546351085,14.73076923,9.85952381
T1E2,-57.30000619,26.24364205,29711312.33,2181.080078,23.4673004,0.490877787,913.964,3.0820301,28.2842999,0.108966,10615.59961,9.4889297,1.141988716,2.81322525,0.2287175,14.33805162,0.547683924,24.99285714,10.60952381
SW-1,-72.68443691,-0.675550449,22405162.52,2255.73999,6.4492002,0.036366696,977.588,38.0238991,466.2739868,0.0815484,22981.40039,11.2332001,0.964037847,2.442430375,0.125500375,22.68622302,0.501123596,14.78461538,11.20238095
T2E2,-51.39889847,16.80175043,27594042.2,2170.040039,14.1334,0.611283366,916.007,0.913818,10,0.0913818,2860,11.3486004,0.667752646,3.269881875,0.180545625,21.11203627,0.524390244,22.88461538,8.942857143
T2W3,-1.312740639,5.423801396,46536316.02,2173.889893,15.1990995,0.234811147,980.381,4.7629399,38.2843018,0.12441,2527.959961,8.3129101,0.66445726,6.228027,0.46577125,15.58701082,0.713071201,44.7,12.0952381
T2W1,-0.479649191,23.15332568,28675067.53,2170.669922,10.1554003,0.026594459,987.042,1.53589,10,0.153589,4738.189941,8.8482304,0.173744258,5.287480125,0.33057625,18.64498883,0.699642431,57.19090909,11
T1W2,0.435280703,7.484773958,37755030.16,2180.530029,14.6463003,0.235083347,976.943,1.2438999,14.1421003,0.0879568,3761.139893,9.0935602,1.105340024,5.567644125,0.3984795,16.28735313,0.716923077,43.81428571,11.05111111
T2E1,2.818740863,0.578211014,33448023.02,2170.040039,14.1334,0.611283366,916.007,0.913818,10,0.0913818,34356.80078,11.3486004,1.39423557,7.860535625,0.572436875,16.00698605,0.569682152,43.58333333,11.98888889
T1W1,2.975490523,-2.02449354,42110907.87,2180,7.1127601,0.079827796,974.196,0,0,0,9675.879883,10.3396997,0.138393749,3.98793125,0.23506375,19.77639058,0.553695955,45.14,10.87222222
T2W2,4.209077627,6.498112689,27991299.08,2170.669922,10.1554003,0.026594459,987.042,1.53589,10,0.153589,4738.189941,8.8482304,0.60833583,5.75073,0.505625625,13.25802795,0.685549133,46.44,11.36666667
T1E1,309.5942626,-6.915030528,31185085.04,2179.300049,8.7007999,0.339188894,961.122,0,0,0,13755.2998,10.9786997,0.422795586,4.27621375,0.334476125,14.90319249,0.516778523,48.43333333,12.58148148
